primary_label,latitude,longitude,scientific_name,amount_of_samples
acafly,9.1334,-79.6501,Empidonax virescens,46
acafly,5.7813,-75.7452,Empidonax virescens,46
acafly,4.6717,-75.6283,Empidonax virescens,46
acafly,4.6717,-75.6283,Empidonax virescens,46
acafly,4.6717,-75.6283,Empidonax virescens,46
acafly,4.6717,-75.6283,Empidonax virescens,46
acafly,4.6717,-75.6283,Empidonax virescens,46
acafly,4.6717,-75.6283,Empidonax virescens,46
acafly,4.6717,-75.6283,Empidonax virescens,46
acafly,4.6922,-75.8229,Empidonax virescens,46
acafly,-0.1865,-78.4849,Empidonax virescens,46
acafly,4.6683,-75.6275,Empidonax virescens,46
acafly,4.66307,-75.6388,Empidonax virescens,46
acafly,4.66481,-75.63287,Empidonax virescens,46
acafly,4.66481,-75.63287,Empidonax virescens,46
acafly,1.021,-78.608,Empidonax virescens,46
acafly,-0.593,-79.363,Empidonax virescens,46
acafly,0.533,-79.217,Empidonax virescens,46
acafly,0.533,-79.217,Empidonax virescens,46
acafly,0.617,-79.233,Empidonax virescens,46
acafly,0.883,-78.8,Empidonax virescens,46
acafly,1.133,-78.967,Empidonax virescens,46
acafly,1.25,-78.733,Empidonax virescens,46
acafly,0.346,-79.709,Empidonax virescens,46
acafly,4.727,-75.577,Empidonax virescens,46
acafly,6.1219,-75.5973,Empidonax virescens,46
acafly,4.8865,-74.4711,Empidonax virescens,46
acafly,4.7221,-75.5773,Empidonax virescens,46
acafly,9.1332,-79.7195,Empidonax virescens,46
acafly,9.1332,-79.7195,Empidonax virescens,46
acafly,9.2498,-70.7635,Empidonax virescens,46
acafly,9.2498,-70.7635,Empidonax virescens,46
acafly,9.2803,-70.7156,Empidonax virescens,46
acafly,4.771,-75.6226,Empidonax virescens,46
acafly,9.1667,-79.7667,Empidonax virescens,46
acafly,0.1667,-79.25,Empidonax virescens,46
acafly,9.249,-79.9864,Empidonax virescens,46
acafly,4.5722,-76.2062,Empidonax virescens,46
acafly,2.7975,-74.855,Empidonax virescens,46
acafly,1.3985,-78.0303,Empidonax virescens,46
acafly,6.9875,-75.1105,Empidonax virescens,46
acafly,3.3794,-76.5406,Empidonax virescens,46
acafly,3.3794,-76.5406,Empidonax virescens,46
acafly,9.1332,-79.7195,Empidonax virescens,46
acafly,3.3794,-76.5406,Empidonax virescens,46
acafly,-0.0523,-78.7764,Empidonax virescens,46
acowoo,5.716,-75.2583,Melanerpes formicivorus,15
acowoo,5.716,-75.2583,Melanerpes formicivorus,15
acowoo,1.81,-76.34972,Melanerpes formicivorus,15
acowoo,5.0791,-75.6852,Melanerpes formicivorus,15
acowoo,4.727,-75.577,Melanerpes formicivorus,15
acowoo,6.7793,-75.4766,Melanerpes formicivorus,15
acowoo,6.7804,-75.4747,Melanerpes formicivorus,15
acowoo,6.7803,-75.4749,Melanerpes formicivorus,15
acowoo,5.0652,-75.532,Melanerpes formicivorus,15
acowoo,5.0651,-75.5332,Melanerpes formicivorus,15
acowoo,6.1298,-75.5999,Melanerpes formicivorus,15
acowoo,6.165,-73.1375,Melanerpes formicivorus,15
acowoo,6.165,-73.1375,Melanerpes formicivorus,15
acowoo,6.165,-73.1375,Melanerpes formicivorus,15
acowoo,4.9918,-75.5712,Melanerpes formicivorus,15
aldfly,-19.5501,-62.5623,Empidonax alnorum,10
aldfly,-0.917,-77.8,Empidonax alnorum,10
aldfly,-6.0445,-76.9829,Empidonax alnorum,10
aldfly,4.8059,-75.8699,Empidonax alnorum,10
aldfly,4.351,-74.652,Empidonax alnorum,10
aldfly,4.351,-74.652,Empidonax alnorum,10
aldfly,4.351,-74.652,Empidonax alnorum,10
aldfly,4.351,-74.652,Empidonax alnorum,10
aldfly,4.351,-74.652,Empidonax alnorum,10
