config_id,config_name,final_val_acc,final_val_f1,best_val_acc,best_val_f1,training_time_min,training_type,use_adam,estop_thresh,batch_size,use_class_weights,l2_regularization,has_lr_schedule,lr_schedule_type,initial_lr,standardize,spec_augment,noise_augment,num_epochs,mixed_precision_used,gradient_clipping_used,parallel_folds_used,optimized_dataloaders,batch_size_optimized,gradient_clipping_value,optimization_score
config5,Small Batch High LR (AMP Optimized),0.5169753086419753,0.5070028833900205,0.5370370370370371,0.5269056228874893,1.962373173236847,single_fold,True,35,24,True,0.0003,True,exponential,0.004,True,True,False,180,True,True,False,True,False,1.0,4
config9,Balanced Classes Focus,0.5124223602484472,0.5061090467548904,0.5496894409937888,0.5421034327368695,3.327099041144053,single_fold,True,35,28,True,0.0003,True,exponential,0.0012,True,True,False,220,False,False,False,True,False,0.0,1
config2,Exponential LR Decay (Optimized),0.4953125,0.49033330116980156,0.5109375,0.5032894138914151,3.305623964468638,single_fold,True,40,40,False,0.0001,True,exponential,0.003,True,True,False,220,True,True,False,True,True,1.0,5
config7,Heavy Regularization (Optimized),0.475,0.4690192709149401,0.509375,0.4986630018582754,7.118036131064097,single_fold,True,60,40,True,0.001,True,plateau,0.001,True,True,True,300,True,True,False,True,True,1.2,5
config18,Goldilocks Zone Hunter,0.48538961038961037,0.4673249823408542,0.5,0.4761636786508767,4.978989084561666,single_fold,True,50,56,True,0.00075,True,exponential,0.0035,True,False,False,333,True,True,False,True,True,1.33,5
config4,Cosine Annealing (Optimized),0.4645061728395062,0.4421871974435364,0.5030864197530864,0.4775715257945187,1.389580782254537,single_fold,True,30,24,False,1e-05,True,cosine,0.005,True,True,True,200,True,True,False,True,False,0.8,4
config0,Conservative Baseline (Optimized),0.42592592592592593,0.41440717701045393,0.48148148148148145,0.45191733827085,1.6303881049156188,single_fold,True,35,24,False,0.0001,False,none,0.001,True,False,False,200,True,True,False,True,False,1.0,4
config8,Light Regularization (Optimized),0.434375,0.4042625744546091,0.4453125,0.414607809830063,1.266724451382955,single_fold,True,25,64,False,1e-05,False,none,0.002,True,False,False,150,True,True,False,True,True,0.8,5
config3,ReduceLROnPlateau (Optimized),0.4140625,0.3944924762713967,0.4359375,0.422077843181133,4.0724684198697405,single_fold,True,50,32,True,0.0002,True,plateau,0.001,True,False,True,300,True,True,False,True,False,1.2,4
config16,Chaos Theory Adam,0.4015873015873016,0.38258744685937496,0.553968253968254,0.541802981682891,3.045127010345459,single_fold,True,37,45,True,0.00037,True,cosine,0.00137,False,True,False,247,True,True,False,True,True,0.73,5
config13,Micro Batch High Frequency,0.3746177370030581,0.36031472174290763,0.38685015290519875,0.37037695866340226,3.5370819012324017,single_fold,True,40,6,False,2e-06,True,plateau,0.008,True,False,True,500,True,True,False,True,False,5.0,4
config1,Aggressive Baseline (Optimized),0.33814102564102566,0.32967528939033547,0.33814102564102566,0.32967528939033547,1.7013340830802917,single_fold,True,25,48,True,0.0005,False,none,0.002,True,True,True,250,True,True,False,True,True,1.0,5
config11,Mega Batch Momentum SGD,0.31875,0.31517672692075005,0.4640625,0.45193238098724914,1.21231742699941,single_fold,False,15,160,False,1e-07,True,cosine,0.1,False,True,True,180,True,True,False,True,True,2.0,5
config6,Large Batch Conservative (AMP Optimized),0.3171875,0.2962570313650199,0.446875,0.4234513971136423,2.550209816296895,single_fold,True,45,80,False,0.0001,False,none,0.0005,True,False,False,250,True,True,False,True,True,1.5,5
config14,No Regularization Speed Run,0.255859375,0.22793061463800812,0.44921875,0.4095429604968717,1.6872084140777588,single_fold,True,23,256,False,0.0,False,none,0.02,False,False,False,180,True,False,False,True,True,0.0,4
config12,Aggressive Adam Cyclic,0.041666666666666664,0.011647810347388914,0.09666666666666666,0.048730853974283,0.9039420167605082,single_fold,True,12,120,True,0.008,True,cosine,0.01,True,True,False,200,True,True,False,True,True,0.3,5
config15,Extreme Regularization Marathon,0.04420731707317073,0.010843717265735613,0.04725609756097561,0.01172130817841675,14.540436538060506,single_fold,False,40,16,True,0.05,True,exponential,5e-05,True,True,True,600,True,True,False,True,False,0.05,4
config20,Extreme Regularization Marathon,0.039634146341463415,0.00231049497911668,0.054878048780487805,0.0031529164477141357,1.427144451936086,single_fold,False,40,16,True,5.0,True,exponential,0.0005,True,True,True,600,True,True,False,True,False,0.05,4
config19,Anti-Pattern Rebellion,0.03048780487804878,0.0017930787161556392,0.054878048780487805,0.0031529164477141357,6.3364661971728005,single_fold,False,40,4,False,0.99,False,none,0.5,False,True,True,1000,True,True,False,True,False,0.01,4
config17,Binary Extremes SGD,0.025,0.0014781966001478197,0.040625,0.0023660023660023663,0.6195074597994487,single_fold,False,10,320,False,1.0,True,plateau,1.0,True,False,True,650,True,True,False,True,True,10.0,5
config10,idfk,0.016975308641975308,0.0010116337885685382,0.06018518518518518,0.011726345982215995,1.0985254208246866,single_fold,False,25,24,True,0.01,True,exponential,0.75,False,False,False,420,True,True,False,True,False,0.1,4
