primary_label,latitude,longitude,scientific_name,region,amount_of_samples
azaspi1,-23.6964,-64.8768,Synallaxis azarae,Latin America,30
azaspi1,-23.6964,-64.8768,Synallaxis azarae,Latin America,30
azaspi1,-23.6964,-64.8768,Synallaxis azarae,Latin America,30
azaspi1,-21.0334,-64.2167,Synallaxis azarae,Latin America,30
azaspi1,-20.8334,-64.3334,Synallaxis azarae,Latin America,30
azaspi1,-20.8001,-64.5334,Synallaxis azarae,Latin America,30
azaspi1,-20.8,-64.533,Synallaxis azarae,Latin America,30
azaspi1,-23.6834,-64.8834,Synallaxis azarae,Latin America,30
azaspi1,-23.6834,-64.8834,Synallaxis azarae,Latin America,30
azaspi1,-23.758,-64.851,Synallaxis azarae,Latin America,30
azaspi1,-23.6834,-64.8834,Synallaxis azarae,Latin America,30
azaspi1,-23.5334,-64.5501,Synallaxis azarae,Latin America,30
azaspi1,-23.6834,-64.8834,Synallaxis azarae,Latin America,30
azaspi1,-23.6834,-64.9001,Synallaxis azarae,Latin America,30
azaspi1,-23.6834,-64.8834,Synallaxis azarae,Latin America,30
azaspi1,-23.6834,-64.7501,Synallaxis azarae,Latin America,30
azaspi1,-23.758,-64.851,Synallaxis azarae,Latin America,30
azaspi1,-23.6738,-64.9004,Synallaxis azarae,Latin America,30
azaspi1,-23.6738,-64.9004,Synallaxis azarae,Latin America,30
azaspi1,-23.7021,-64.8584,Synallaxis azarae,Latin America,30
azaspi1,-23.7288,-64.8495,Synallaxis azarae,Latin America,30
azaspi1,-21.9539,-65.4895,Synallaxis azarae,Latin America,30
azaspi1,-23.6716,-64.8668,Synallaxis azarae,Latin America,30
azaspi1,-22.6802,-64.4211,Synallaxis azarae,Latin America,30
azaspi1,-23.6738,-64.9004,Synallaxis azarae,Latin America,30
azaspi1,-22.193127,-63.94455,Synallaxis azarae,Latin America,30
azaspi1,-22.193127,-63.94455,Synallaxis azarae,Latin America,30
azaspi1,-23.7288,-64.8495,Synallaxis azarae,Latin America,30
azaspi1,-23.7288,-64.8495,Synallaxis azarae,Latin America,30
azaspi1,-24.5112,-65.3456,Synallaxis azarae,Latin America,30
bncfly,-21.2151,-61.658,Myiarchus tyrannulus,Latin America,22
bncfly,-22.0409,-64.4387,Myiarchus tyrannulus,Latin America,22
bncfly,-24.665,-65.377,Myiarchus tyrannulus,Latin America,22
bncfly,-24.665,-65.377,Myiarchus tyrannulus,Latin America,22
bncfly,-24.671,-65.372,Myiarchus tyrannulus,Latin America,22
bncfly,-24.671,-65.372,Myiarchus tyrannulus,Latin America,22
bncfly,-26.895,-59.0177,Myiarchus tyrannulus,Latin America,22
bncfly,-23.5334,-64.5501,Myiarchus tyrannulus,Latin America,22
bncfly,-23.5334,-64.5501,Myiarchus tyrannulus,Latin America,22
bncfly,-27.4336,-56.811,Myiarchus tyrannulus,Latin America,22
bncfly,-27.7001,-57.1834,Myiarchus tyrannulus,Latin America,22
bncfly,-27.1453,-58.8418,Myiarchus tyrannulus,Latin America,22
bncfly,-23.7288,-64.8495,Myiarchus tyrannulus,Latin America,22
bncfly,-24.244,-64.125,Myiarchus tyrannulus,Latin America,22
bncfly,-29.8307,-66.5617,Myiarchus tyrannulus,Latin America,22
bncfly,-22.193127,-63.94455,Myiarchus tyrannulus,Latin America,22
bncfly,-22.193127,-63.94455,Myiarchus tyrannulus,Latin America,22
bncfly,-22.193127,-63.94455,Myiarchus tyrannulus,Latin America,22
bncfly,-22.193127,-63.94455,Myiarchus tyrannulus,Latin America,22
bncfly,-23.7835,-53.0763,Myiarchus tyrannulus,Latin America,22
bobfly1,-26.3398,-58.2103,Megarynchus pitangua,Latin America,20
bobfly1,-20.2209,-56.5751,Megarynchus pitangua,Latin America,20
bobfly1,-27.3218,-53.7958,Megarynchus pitangua,Latin America,20
bobfly1,-27.5302,-56.6027,Megarynchus pitangua,Latin America,20
bobfly1,-20.2209,-56.5751,Megarynchus pitangua,Latin America,20
bobfly1,-26.519,-53.991,Megarynchus pitangua,Latin America,20
bobfly1,-28.5332,-57.167,Megarynchus pitangua,Latin America,20
bobfly1,-20.4463,-54.5617,Megarynchus pitangua,Latin America,20
bobfly1,-20.4073,-54.6165,Megarynchus pitangua,Latin America,20
bobfly1,-20.4073,-54.6165,Megarynchus pitangua,Latin America,20
bobfly1,-25.716791,-54.414597,Megarynchus pitangua,Latin America,20
bobfly1,-25.716791,-54.414597,Megarynchus pitangua,Latin America,20
bobfly1,-25.5985,-54.5476,Megarynchus pitangua,Latin America,20
bobfly1,-26.6301,-54.0999,Megarynchus pitangua,Latin America,20
bobfly1,-22.193127,-63.94455,Megarynchus pitangua,Latin America,20
bobfly1,-25.8667,-54.1667,Megarynchus pitangua,Latin America,20
bobfly1,-28.0217,-59.5285,Megarynchus pitangua,Latin America,20
bobfly1,-20.1213,-55.9297,Megarynchus pitangua,Latin America,20
compot1,-32.144,-53.728,Nyctibius griseus,Latin America,16
compot1,-32.144,-53.728,Nyctibius griseus,Latin America,16
compot1,-31.0679,-57.0651,Nyctibius griseus,Latin America,16
compot1,-26.8109,-59.597,Nyctibius griseus,Latin America,16
compot1,-32.144,-53.728,Nyctibius griseus,Latin America,16
compot1,-26.6291,-55.6646,Nyctibius griseus,Latin America,16
compot1,-25.716791,-54.414597,Nyctibius griseus,Latin America,16
compot1,-25.5163,-54.5854,Nyctibius griseus,Latin America,16
compot1,-32.6221,-58.1746,Nyctibius griseus,Latin America,16
compot1,-32.3368,-58.1438,Nyctibius griseus,Latin America,16
compot1,-31.0484,-57.0128,Nyctibius griseus,Latin America,16
compot1,-32.0855,-58.1695,Nyctibius griseus,Latin America,16
compot1,-28.1498,-55.8401,Nyctibius griseus,Latin America,16
creoro1,-22.051,-63.71,Psarocolius decumanus,Latin America,15
creoro1,-22.0409,-64.4387,Psarocolius decumanus,Latin America,15
creoro1,-27.4154,-56.2634,Psarocolius decumanus,Latin America,15
creoro1,-27.4154,-56.2634,Psarocolius decumanus,Latin America,15
creoro1,-27.4154,-56.2634,Psarocolius decumanus,Latin America,15
creoro1,-27.4154,-56.2634,Psarocolius decumanus,Latin America,15
creoro1,-24.173,-65.3071,Psarocolius decumanus,Latin America,15
creoro1,-23.5334,-64.5501,Psarocolius decumanus,Latin America,15
creoro1,-27.4154,-56.2634,Psarocolius decumanus,Latin America,15
creoro1,-24.173,-65.3071,Psarocolius decumanus,Latin America,15
creoro1,-22.193127,-63.94455,Psarocolius decumanus,Latin America,15
creoro1,-22.193127,-63.94455,Psarocolius decumanus,Latin America,15
creoro1,-22.193127,-63.94455,Psarocolius decumanus,Latin America,15
fepowl,-20.445,-53.7593,Glaucidium brasilianum,Latin America,18
fepowl,-31.5914,-53.5641,Glaucidium brasilianum,Latin America,18
fepowl,-26.7966,-59.6056,Glaucidium brasilianum,Latin America,18
fepowl,-25.2788,-65.3032,Glaucidium brasilianum,Latin America,18
fepowl,-25.0036,-63.8985,Glaucidium brasilianum,Latin America,18
fepowl,-26.9334,-54.2167,Glaucidium brasilianum,Latin America,18
fepowl,-25.716791,-54.414597,Glaucidium brasilianum,Latin America,18
fepowl,-22.193127,-63.94455,Glaucidium brasilianum,Latin America,18
fepowl,-26.9199,-54.2247,Glaucidium brasilianum,Latin America,18
fepowl,-27.411,-56.2598,Glaucidium brasilianum,Latin America,18
fepowl,-27.411,-56.2598,Glaucidium brasilianum,Latin America,18
fepowl,-27.6509,-55.7058,Glaucidium brasilianum,Latin America,18
fepowl,-25.6785,-54.4507,Glaucidium brasilianum,Latin America,18
fepowl,-27.4617,-55.5665,Glaucidium brasilianum,Latin America,18
fepowl,-25.627,-54.453,Glaucidium brasilianum,Latin America,18
