timestamp,model_name,config_name,config_id,status,training_time_seconds,best_val_acc,best_val_f1,final_val_acc,final_val_f1,best_train_acc,best_train_f1,final_train_acc,final_train_f1,best_epoch,total_epochs,early_stopped
20250702_060219,BirdCNN_v1,configA,BirdCNN_v1_configA,success,138.832535,0.457813,0.446237,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v2,configA,BirdCNN_v2_configA,success,760.623317,0.434375,0.407478,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v3,configA,BirdCNN_v3_configA,success,284.511358,0.450000,0.444554,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v4,configA,BirdCNN_v4_configA,success,56.238556,0.076563,0.060679,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v5,configA,BirdCNN_v5_configA,success,269.660747,0.600000,0.585025,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v6,configA,BirdCNN_v6_configA,success,353.197842,0.150000,0.102911,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v7,configA,BirdCNN_v7_configA,success,467.376910,0.604688,0.583073,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v8,configA,BirdCNN_v8_configA,success,190.463912,0.525000,0.496184,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v9,configA,BirdCNN_v9_configA,success,219.144996,0.314063,0.275148,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v10,configA,BirdCNN_v10_configA,success,38.600750,0.148438,0.130966,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v11,configA,BirdCNN_v11_configA,success,271.422211,0.459375,0.441170,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v12,configA,BirdCNN_v12_configA,success,166.080787,0.254688,0.234708,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v13,configA,BirdCNN_v13_configA,success,151.762700,0.465625,0.449521,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v14,configA,BirdCNN_v14_configA,success,370.836235,0.509375,0.481272,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v15,configA,BirdCNN_v15_configA,success,634.941477,0.265625,0.252981,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v16,configA,BirdCNN_v16_configA,success,48.709821,0.101562,0.073620,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v1,configB,BirdCNN_v1_configB,success,153.879022,0.521739,0.507227,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v2,configB,BirdCNN_v2_configB,success,590.972520,0.243789,0.218386,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v3,configB,BirdCNN_v3_configB,success,262.488063,0.510870,0.486377,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v4,configB,BirdCNN_v4_configB,success,53.698651,0.046584,0.031438,0,0,0,0,0,0,0,0,False
20250702_060219,BirdCNN_v5,configB,BirdCNN_v5_configB,success,216.093270,0.565217,0.538615,0,0,0,0,0,0,0,0,False
